time, , lambda
0,00,0.006874530603380396
60,00,0.00687461693010682
120,00,0.006874629017611033
180,00,0.006874829621724073
240,00,0.006874958052922016
300,00,0.0068745799457866205
360,00,0.006874829445445156
420,00,0.006874998555221793
480,00,0.006875368605488716
540,00,0.0068752496666497805
600,00,0.006875058991574058
